Label,Tweets
2,"Zero subway hassle. Zero charge.   POWERADE ZERO and Venus Williams are excited to offer fans a free ferry ride to the tennis matches from August 31 to September 6. The ferry leaves from and returns to the E. 35th St. Marina, and drops off at the World's Fair Marina.     Upon arriving at the World's Fair Marina, buses will transport fans directly to the tennis gates. Buses will be waiting to return fans to the World's Fair Marina for the ferry ride back to the E. 35th St Marina all FREE of charge.    Please click link below to reserve your FREE spot for one of the times below. Please note there is limited availability for each trip.     And don't worry. The breeze and spectacular city views are also FREE of charge... as is the POWERADE ZERO you'll be drinking. POWERADE ZERO is also FREE of calories. Yes, you read that right: the electrolytes and B vitamins of a sports drink, without the calories. Hey, it's our pleasure.    This offer is subject to NY Water Taxi terms and 
conditions. Availability is limited.     CLICK HERE FOR A RESERVATION    SCHEDULE:    Leaving E. 35th St. Marina for the World's Fair Marina 9:30am, 11:15am, 1:45 pm, 3:45pm, 5:45pm, 7:45pm,     Leaving World's Fair Marina for the E. 35th St Marina 10:30am, 12:45pm, 2:45pm, 4:45pm, 6:45pm, 9:30pm 11:45pm (Last Ferry very limited number of seats. Check with NY Water Taxi representative at bus pick up point for availability.)    Shuttle buses to/from World's Fair Marina to tennis gates run every 15 minutes between: 10:15-11:15am, 12-1pm, 2:30-3:30, 4:30-5:30pm, 6:30-7:30pm, 8:30-9:30pm, 11-Midnight"
1,"I am trying to get directions to E. 35 St. Marina on HopStop.com and it does not recognize this address.   We will be staying at the Affina Dumont, 150 E. 34th St.   Can someone give me guidance on where exactly E. 35 St. Marina is?   Also, do you know how long this ride will take? Approx how long on water taxi and then approx how long on the bus. IT does look like a fun alternative to the subway or LIRR."
1,35th Street Marina is located at East 35th Street and the FDR Drive. Cross the FDR Drive going East and you will see the marina. The ferry takes 35 to 45 minutes and the shuttle bus takes about 10 minutes max. Have fun.
0,NYC22222--welcome to the NYC Forum.
0,I was wondering are nyc 10025 and nyc 22222 related ?
0,I doubt it.
2,I rode the Water taxi. It went very smoothly and was a fun way to get to the US Open. It was a beautiful Sat morning. The subway was very crowded and took about the same amount of time. The water taxi was very relaxing and a fun way to see the skyline. There was no line to get on and the buses were ready to take us to the Open. The Powerade sponsors were there and they gave each of us a Powerade and we used this to refill with water at the open!    Have fun. Thanks for the great tip.
2,We rode it Sunday afternoon. The boat was about 1/10 full. It took us up to a marina within sight of the famous globe in Flushing Meadows. It was a wonderful experience although my son got nauseous on the boat. Good thing we decided not to buy the 2-day WaterTaxi Hop On/Hop Off pass!
1,From the Affinia Dumont you can walk. Head east to the river and walk up one block. Go to  maps.google.com  for walking directions. Type affinia dumont nyc to east 35 th st. marina nyc in the top.
2,"Not that I know of, but you can get the AirTrain at JFK to the Long Island RailRoad, which will take you directly to Penn Station, from which you can take an Amtrak directly to Philadelphia. To save some money, you could instead take a New Jersey Transit train from Penn Station to Trenton, and from there get a SEPTA regional rail train (the R7 line) directly into Philadelphia. To save EVEN more money, instead of taking the LIRR from JFK to Penn Station, you could take the subway.     I know that probably sounds very confusing, but if you let us know your budget and the day and time you expect to arrive at JFK, I'll plot it all out for you and send you links to the schedules and fares."
2,"I will arrive on 21 Oct 2009 1310. prefer quickest and more direct way. Is there coach call "";Wah Fung""; at China Town (New York) which directly go to Philadelphia. And what is the travel time for different method ??  thanks"
2,"The name of the bus is "";Fung Wah"";. I would not recommend using them, as I regularly pass their broken buses sitting on the side of the road during our trips between Boston and New York."
2,"However, there are plenty of other bus companies that run between NYC and Philly, including ones which pick up directly outside Penn Station (if you take the LIRR in)... Bolt Bus and MegaBus have both been okay in my experience."
1,"Bolt Bus was great. I know a lot of people who take Fung Wa and the other Chinatown buses, but I'm reluctant after all the accidents."
2,"Amtrak will be faster than the bus, but if you prefer a bus, Take either Bolt Bus or Mega Bus. Both will take you from Penn Station to 30th Street Station in Philadelphia. Both will take 2 hours (plus any additional traffic time). Megabus has seats available for your date now ($5). BoltBus doesn't have tickets available for that date yet, but when they do go on sale, they're likely to cost the same or less. The fares for both companies will get more expensive the closer you get to your date.     Amtrak will take you from Penn Station to 30th Street Station in under an hour and a half, but will cost more - the cheapest fare I see for your date right now is $34. That will also get more expensive as we get closer to your date."
2,"Here is their website with all their info, hours, etc.:    http://www.tdf.org/TDF_ServicePage.aspx?id=56    Other pointers:    * Sold out shows like Jersey Boys, Lion King and South Pacific are never (if ever) sold at TKTS booths. For those shows, use a website like www.broadwaybox.com .     Try to avoid using ticket brokers. They are rip-offs.    * You can see what was selling at the booths each previous week, from their website above.    * The lines at the South Street Seaport booth are shorter than Times Square, and the one in Downtown Brooklyn is even less crowded.    * If you have an idea of shows you want to see, print out their seating charts and bring them to the TKTS booth. The clerks will tell you general sections of what they have.    * If you can, sit separately. Tell the clerk. You might be able to get better seats sitting alone.    * Don't let the clerks or long lines behind you pressure you. Take your time.    Here is our Theater Info page from our FAQ "";pushpin""; at 
the top of this forum.    BROADWAY! Discount tickets and theatre etiquette: Never pay full price and turn off that cell phone!    tripadvisor.com/Travel-g60763-c1146/New-York"
1,"P.S. How was your trip here last week? Did I overlook your trip report? Did you run your family into the ground, and turn their feet into bloody stumps? ;o)"
2,"No, you didn't miss it . . . still owe you all one and do intend to get it posted soon. In short, Had a great rainy day day-trip-- so great that I jumped right into our December weekend planning. You guys are truly the best-- I can't imagine feeling confident about any of the 4 adventures we've had there having had first picked your brains!! Thanks for the TKTS info-- can't wait to digest it. Woulk like to feel as though I'm a smart, seasoned NYC shopper-- not just the love-sick, impulsive one I am now!"
2,"We don't have Boxing Day here so you'll have no problem with train service or cabs. On holidays, such as New Year's Day, the trains run on holiday schedules (not sure what you mean by double times?), which are less frequent but still regular. What train are you planning to take? The AirTrain/subway? I don't think that'd cause much of a problem - leave a little extra time but not a big deal."
2,Thanks for the quick reply.    When I said double time I meant in the UK cab/taxi's charge double time/fare on bank holidays. Thats good to know.   I got a cab from JFK last time and was fine. To save a few pounds for the hotel I wouldnt mind getting the air train/subway.    Thanks ginger-candy.
2,"Cabs in NYC do not charge extra on holidays; they charge the same fare that they charge on other days. "";Boxing Day""; is not any kind of holiday at all in the US; no one here observes it, and most people born here have never even heard of it. If you ask about "";boxing day""; hours or "";boxing day""; closures, all you can expect is a puzzled look. (The same, by the way, is true for "";Easter Monday"";, and we also do not use the term "";bank holiday""; here either.)"
1,"Ahhh....but those of us who work at banks do, indeed, use the term "";bank holiday"";! Most especially for Columbus Day, Veterans Day, and other such holidays that might not be observed by anyone other than banks and the postal service!"
2,Take the AirTrain and LIRR.
2,"The only thing to be concerned about with boxing day is that it's also a Saturday this year, and the trains do run somewhat less frequently on Saturdaty. But not so that it'll cause you any problems."
1,"Thanks for all your replies, you have been a great help."
2,"You don't say which airport you're coming from, so I am generalising a bit here..     It should take no more than 90 minutes to get from either JFK or EWR to your hotel. (I'm unsure if you're staying at the Marriot Marquis, as you just say "";midtown hotel""; or just going for a buffet!!).    Anyway, 2pm - 3.45pm to get to hotel, give yourself an hour and a quarter to get freshened up, changed, and relax which makes it now 5pm.     So, IMO, you've actually got 3 hours before the tickets at 8pm, (give or take half an hour, as you'll probably have to get their earlier.     As I said, these are huge generalisations, as I'm unsure what airport, and what transportation options you're taking, and also where you're actually staying."
2,Flying into LGA and staying at the Benjamin. The whole family was in NY in June so we still remember how to get around pretty well and still have current maps of subway ect. My daughter and I are in love with NY and couldn't wait to get back.
1,How long will you be in the City? Perhaps you should save thew Marriott for another time - when you will not have to rush.  Just a thought.  Poppa
0,You should have no trouble with that time frame.
2,Please tell me that you got your tickets on broadway box and did not pay full price for them... I would wait till after the show or another day to go to the Marriott Marquis if you think your daughter will like it. Just grab something lite before the show either near the theater or near your hotel. You don't want to have to rush out of the lounge if your daughter is really into it.. Ps at 15 I bet she already feels very grown up just ask her..    You will have no problem with your timetable unless there are major weather delays on your flight. So if on time just relax and take it easy.
1,"Thanks everyone for the info. No Bilmin I didn't pay full price. I rarely pay full price for anything if I can help it-it gives me a headache, LOL. Happy Labor Day. Have a good one."
2,"HI, DERBY -- the walk from the Benjamin to the Marriott Marquis shouldn't take you more than 20 minutes, although you may decide to stop to ogle St. Patrick's Cathedral and/or Rockefeller Center en route; the Winter Garden Theatre is just 4-1/2 blocks from the Marquis.     So barring horrific delay at LGA, you should be fine. The buffet at the Marriott isn't so expansive or fabulous that you'll need anywhere close to 2 hours to do it justice :-)"
2,Getting from LGA to your hotel should not take long. So you should have plenty of time to go to the Marriot Marquis for the buffet. I have heard the view is great have not done this personally.I envy you and your daughter.I took my 14 year old last Febuary and we fell in love with New York. As life changes aka job i am now having to spend time on both coasts so now next Febuary my daughter is coming to the city so we can enjoy the city again.Have fun on your trip. Please write a trip report. I love to read about other mother daughter trips.
1,"Yes, the subway is the best way to get around. I would rather have a hot poker stuck in my eye than shop the Friday after Thanksgiving, but if you're here to shop you will have company."
2,"Hi cailin,  As I don't know what kind of things you like to do, can't really advise you too much. Museums, park, Empire State, Top of the Rock, bridges... Maybe read the sections to the side of this page on things to do, and the FAQs to get ideas to get you started. As you mentioned shopping, I wouldn't bother going to Jersey Gardens, there are usually good sales in the city in much more pleasant surroundings. But that's just me! However, I do believe that Woodbury Common has more stores than Jersey Gardens. If you use the search box just above this thread, you will get more info. The search box is your friend, no matter what you might be able to think of asking, you will find previous threads on the topic.  Most definitely, use the subway for your travelling around the city. Buy a 7 day ticket, about $27 dollars, can be used on buses ans subways and is the best value item you will buy!"
1,"Oh, yes, just saw that you are there for that Friday... Well, get your body armour on, the shops will be packed! But, on the other hand, there will be sales too!"
0,thanks for your suggestions i have friends who went to jersey gardens last year for the black friday sales and reckon it was better than woodbury common. granted it was manic. is manhattan itself better for the bargains? also just reading bout the real new yorker walking tours. they sound great thinking it might be a good idea for the thursday. any feedback?
2,"Well, there seem to be always sales of some sort in the department stores. If in Macy's or Bloomingdales, go to the visitors' centre and get a dicount card which will get you 11% off most items except cosmetics and some clothing concessions."
1,i'll be at the baseball game on Monday too!!!!     Have a great trip!
2,Congratulations to your son for his admission to Princeton and to you for getting him there! Enjoy your trip! Moms
2,Jillian --  Daughter is Princeton '06. Hope your son loves it as much as she did !
2,All the best to you and the family. Have a safe journey and enjoy yourselves. Take lots of pictures! Weather report is not great for the weekend but looks gorgeous for Mon.!
1,Are you leaving the car in Princeton and taking the train in. Probably makes the most sense.. Train from Princeton goes right into the city.
1,When in P'town you might want to raise a glass of beer at the Triumph Brewery...    www.triumphbrewing.com/indexSPLASH.html    Great food and micro-brews. The pumpkin ale is ready.    Pjk
1,Congrats to the Princeton student. He'll love it and you'll enjoy visiting. My niece just graduated from there and she's now in a fully funded PHD program at Harvard!    ENJOY! the city - just hang out
2,"we made it...LATE last night...rain rain rain all thru the mountains. I don't like Pennsylvania anymore. checked into the Hampton Inn, only to find a flat tire! when we left to get dinner. A very nice young man from Mass changed it for us, because my son nor I know how to do it...We do now, already his Princeton education has begun...weather looks better for tomorrow when we depart for Manhattan...I am so ready to ditch this rental car...and hit the city streets!"
1,"Yes...I am leaving the car at Princeton Junction, I hope it is safe there as it is a rental, and yes I needed those beers at Triump last night, but had several at "";On the Border""; and the hotel sells bottles 24/7 ....how cool is that"
0,"Oh, I forgot to add, stay is for 8 nights, end of April, therefore could I expect prices to drop further at those 2 places or is it recommended that I just book now?"
2,"They're both trendy boutique hotels moderately priced with very compact rooms. RM Grace has the lobby bar which evidently can get loud and raucous on weekends. You don't say how many you are, how long you're visiting or when, but it's typical here to book without prepaying and make a cancelable reservation should rates drop nearer your trip. Neither of these would be my choice b/c rooms are just too small and claustrophic but our tastes/priorities are obviously different.    As for being near the "";action""; it depends on what action you mean. Most first time tourists think of Times Square as the center of the action and it really isn't except for tourists and theater. The Best Western Hanbee, for example, would be closer to the young trendy areas of the city where locals would go."
1,"I love the fact that they are so modern and trendy, I don't like as much that they do seem quite small.    There are 2 of us (couple) travelling, end of April for 8 nights.    The reason I was thinking of booking so soon is that I'm from Australia and the exchange rate for us is very strong at the moment so I didn't want to miss the boat.  I would usually book through expedia.com.au who offer a $30 cancellation fee (in which case I would book, then cancel should something better come up, then re-book elsewhere etc), however both hotels are not listed on there yet. Also Room Mate Grace have a non-refundable which is significantly cheaper than the refundable option."
0,At this point for that time of year I would go with the refundable option since there very well could be sales at even those hotels. I faced a similar decision on a recent trip to Italy and I booked the refundable which was 30 euro more per night but by the time I ended up booking I got the same room for 50 euro less and they threw in a dinner for two and some other things. Refundable this far in advance is always the best option. Non Refundable is always the best option when you are close to your date and there is absolutely no chance that you will change your dates or your hotel.
1,"Oh wow, I can't wait to experience the TOTR at sunset in December. For now, I can only imagine...    bb"
1,I'd like to go to the Chelsea markets. What kind of lunch did you have there?
2,"Chelsea markets is an area of specialist food shops and serve your self cafes.. We had soup and sandwiches, but there was the usual pitza slices, Italian sandwiches, wraps etc..and a faboulous fish market that had yummy lobster for sale for lunch, as well as other seafood to eat as you go..There is also a really nice bakery that bakes the bread on site... All nice lunch stuff, but no fancy restuarants or even waiter service,but nice food and a good atmosphere to sit and watch the world go by.Almost forgot..fab. cup cakes yummy.. Enjoy.. We really enjoyed our walk on the high line, and accessable just by chelsea markets. Have a great trip."
1,"Thank you Chrissy for highlighting the High Line,I hadnt heard of this before so looked it up and it looks great. We are going in November for daughters 18th and i have added this to our itinerary. Although I have to be honest and say that the cupcakes was all i needed to hear!!    I have found a map of the high line. Am i right in thinking that if you get tired (i have arthritis so cant walk for hours) you can get off part way through the walk and how long would it take to walk the whole thing as i could meet everyone at the end if they want to do the full walk.    thanks again  sharron"
1,"Yes you can get off. We did no problems, plus there are plenty of seats for you to have a rest. Enjoy"
0,"thats great, thank you"
1,"gociba, keep in mind that the High Line is right off the Hudson River, and in November, it will get quite windy. It often feels colder there than the rest of Manhattan. Dress appropriately!"
0,Ok thank you for that i'd better take my thermals!!    kind regards  sharron
1,"Glad to hear you liked the sound of the highline, we enjoyed it, mainly because it was such a contrast in a busy city...You can get off at various places along the way, although im not sure exactly where.. Its not completed yet so the walk isnt that long, but maybe since August a little more is finished.. There is disabled access at some places, y0u may need to track those down because there are quite a few steps to enter, but there is an elevator at 14th street. How nice to celebrating your daughters 18th in NY enjoy your time together..."
2,Good early--- bad later ever since the current management has taken over even though it was the same family and now they are starting to stiff their suppliers. I would say to avoid the place for the next year or so while the regime changes.
2,"Three of my girlfriends and I were planning on going to the Sunday brunch on Dec. 20th. Is the brunch any good?    We want to experience it during the holidays, but don't want to totally waste our money if the food and service are horrible.    Was planning on making reservations next week...    bb"
2,"Good riddance to bad rubbish. The current management team ruined the place, and it'll be better to have a restauranteur who has a proven track record of actually serving good food in a park restaurant instead of just acting as a tourist trap."
1,"bayou babe - have you read any recent reviews of TOTG? Or any threads about it here on this forum. The popular wisdom gives it a thumbs down for food.    www.menupages.com    www.newyork.citysearch.com      Sure, you can go have a drinks and take photos. Knock yourselves out.    What kinds of food, price and atmo do you want?"
2,"Hi Queens,     Yes, I have read some of the reviews but I guess I was in denial. Thanks for keeping it real for me. We have all heard so many good things about TOTG from family that has visited in the past, but it was probably during those "";good ole days"";.    I definitely will reecommend to my friends that we do drinks and take some snapshots, so we can put a check by TOTG on our "";must do""; list and move on to better things.    We will be going to see Wicked on Thurs, Dec 17th, and instead of Sunday brunch on TOTG, I think we should focus on pre or post dinner plans for Thursday night. A level above casual dining, but it doesn't have to be the finest of dining, anything but French, and around $50 pp not including drinks. A prix fixe menu would be good! And somewhere that locals frequent...    Thanks for your help!    bb"
0,Sad to here that TOTG has gone bust.    Had a very nice meal there a few years ago!    :(
2,Babe-- make sure you take your pictures early. The last day of their license is 12-31-09 which means you will be there in the last week of their operation and given the acrimonious way they have been thrown out of the park I would not expect any kind of service from there.... There are so many other places in the city deserving of your time and attention do not waste a minute on this place.
2,Babe the following are in the theater district they are all on the same block 46th street between 8th and 9th avenues... and if you venture just a little further down to 9th avenue there are scores of very affordable restaurants of all types.     www.restaurantrownyc.com
2,"I hate to be the one to say this, but I think that the old girl needs a facelift. The potential for elegance is great, but 1) the menu needs an update and 2) the decor isn't competing the way it should with the very modern designs found in other chi-chi places. Its location has no parallel, but it isn't keeping up with the Joneses."
0,"Tacky, tacky, tacky."
1,"bilmin, thanks for the advice and the restaurant row link. I see some good choices to run by my girlfriends...    Think I may walk by TOTG and take a picture from the outside.    If they get their act together after the takeover, maybe I will venture inside at a later date ;-)    bb"
0,actual dates of travel please
1,"Are you arriving here in just a few weeks or are you planning for October 2010? If you'll be here shortly, please give us the dates of your anticipated stay.     Fair warning: hotel rates are high in the fall here, and you literally can't afford to be picky at this point, assuming you intend to arrive soon. So be prepared to be flexible :-)"
1,"Hey everyone.      We are flying in 9 October and flying out 21 October.       Reading through the other posts i have looked at Affinia Shelbourne, affinia Dumont, Gem Chelsea, Hotel 79.      If there are hotels in other areas that you may think meet my criteria, we're flexible.      Cheers,      E"
2,I loved the Affinia Dumont.    Its a block from the subway stop that will get you anywhere (via connections )to anywhere you want to go in NYC.  Rooms are super clean and the kitchens are super handy.There is a drug store and a Deli with awsome salads close by.    The lobby smells like fresh cut flowers.  Its not so much modern furnishings but the view...  If you look at their Trip Advisor thing i posted a picture from my window.  I want to go back.......
2,"Since you'll be here for almost 2 weeks (12 nights, not 10, am I right?), think you would be best served by an apartment-style/suites hotel with kitchenette facilities and a bit more space.     Living out of a suitcase for 12 nights in a room the size of most NYC hotels wouldn't be fun (and the GEM rooms are tighter quarters than many). Plus, having a kitchenette means you won't have to go out all the time for every meal, and drinks. So it actually can save you money.    Any of the Affinia properties would be fine, but they're almost all beyond your budget for those dates. The Eastgate Tower, an Affinia property, is within your price range via Quikbook; its decor, however, may be too dated for you."
2,"I think you have to forget about picking an area and find a hotel that will suit you at that budget for those dates. It's a bit late to be booking such a long stay. The Empire Hotel is modern and trendy and running a special on   travelzoo.com  for $239/night plus tax. That will buy a standard queen room which is not terribly large but it's a good location. Reviews on the hotel are mixed. Keep in mind taxes will add ~ 15% to that price to bring it to $275.    You might want to consider splitting your stay between 2 hotels in 2 different areas which may give you more options since a lot of hotels aren't available for your whole stay. The Hampton Inn Seaport while not terribly central is a good hotel that's relatively modern, has some views and includes a free continental breakfast. It's ~$200-220/night plus tax depending on what room you pick and whether you prepay. You could also consider staying just outside Manhattan a train ride away. The Westin Jersey City and the W Hobo
ken are both new and very modern offering some views."
0,"Thanks everyone.    The idea about splitting the trip is a good one.    We'll investigate what that brings up today.    I'm coming over for work (i work in museums here in mel :) so need to be on manhattan to go to the course easily enough.     Cheers,    e"
2,"Three in a room for $200/250 at that time of year is going to be a challenge....you know that, right?  Have you looked to your left on this forum - like I'm doing right now and seeing a listing for Discount Hotels - give that a shot - or try one of my regular places The Hotel Stanford on 32nd Street - they have rooms that will not break the bank - not sure about that time of year though, everyone jacks up the prices...."
2,"On your dates, quikbook.com is showing a rate of $199 for 4 with a room with 2 queen beds. I would grab this ASAP as that's an excellent rate for that time and you'll be hard pressed to find something better. Rooms with 2 queen beds aren't all that common. That rate won't last long either. With quikbook, rates are usually fully cancelable up until one or two days before arrival. This hotel is located at South Street Seaport, nearly all the way downtown."
2,"As I read it it's 4 to the room and those dates are a good time to find some hotel bargains so you really have a lot of choices. The Best Western Seaport is $199/night plus tax for 2 queen beds on quikbook.com They also include cont. b/f I think. The Hampton Inn Chelsea is a more convenient location at that time of year and is $212/night plus tax for 2 queen beds. The Best Western Hanbee is also well within your budget for 2 queen beds and free cont. b/f.     If you want to be more centrally located and can put up with 2 double beds instead of queens, the Belvedere has 2 doubles (I saw it on hotels.com but it may be elsewhere) and the trendy Empire Hotel has 2 doubles on hotels for $197/night. Tax adds ~ 15% to prices."
0,Some of the pricing I got was from  kayak.com  The Empire price was on hotels.com
2,"Also try Hotel 414. Newly renovated, free continental breakfast, modern feel (not old and stodgy), very reasonable and in a great neighbourhood - Restaurant Row!"
0,thank you all very much! im checking into those you listed now! we were looking for a location that is about midtown so that if its could we could easily go put our shopping bags in our room. Are any that you listed in midtown or conveniently located?
0,also what do u think about the park central hotel
2,"It's very easy and very clearly marked. There are 3-4 bus ramps at the ferry terminal, with signs for which buses are at which ramp. Once outside, there are posts with the bus numbers on them. Do tell the driver you want to get off at Snug Harbor.    You need to cross the road for the entrance. There's a bus stop right in front. Take a look at the schedule before you go in, and note what times the buses leave to return to the ferry terminal.    Or, take a walk down the road a piece and have lunch at -- I'm not 100% sure of the name but it's something like Tugs. It's just a few minutes' walk in the same direction as the bus you just got off. On the water side. It's an industrial setting, but clean, and you get to see lots and lots of cute tug boats going by. (I'm a sucker for tug boats!) Good burgers too.    The Chinese Scholar's Garden at Snug Harbor is amazing!"
1,"Ink - If we wanted to (or had to) the walk from Snug back to the terminal isn't too taxing?    Also, I'm assuming a Metrocard for the bus, it's Staten Island, but still NYC :-)"
1,"I wouldn't walk it. It's farther than you think. If I recall, it was about 15 minutes on the bus. And not an interesting walk either.    Yes, same metrocard for the bus.    Oh, and here's the link for Tugs:  http://www.rhtugs.com/default.aspx?pageId=1"
1,"Totally concur with what Ink just said - it's easy and all very well signed.     I recently visited the Chinese Scholar Garden and it's a lovely setting. I now want to visit it in all 4 seasons, as I think it would be delightful covered in snow, or in fall colours, or in spring with the trees blossoming. No matter what time of year, it's worth a visit."
1,"I have walked it, and I concur: it really is too far to walk comfortably; I would not do it again, but would wait for the bus."
0,"Thanks everyone.    But just out of curiosity, do I still have to be in the first five cars for the South Ferry stop?"
0,"No, you don't."
